location,time,ppi_dom_con,date
DNK,2009-12,91.2,Dec 2009
DNK,2010-01,91.5,Jan 2010
DNK,2010-02,90.6,Feb 2010
DNK,2010-03,91.4,Mar 2010
DNK,2010-04,90.8,Apr 2010
DNK,2010-05,91.8,May 2010
DNK,2010-06,92.1,Jun 2010
DNK,2010-07,92.3,Jul 2010
DNK,2010-08,92.7,Aug 2010
DNK,2010-09,93.3,Sep 2010
DNK,2010-10,92.9,Oct 2010
DNK,2010-11,93,Nov 2010
DNK,2010-12,93.6,Dec 2010
DNK,2011-01,94.3,Jan 2011
DNK,2011-02,93.8,Feb 2011
DNK,2011-03,94.3,Mar 2011
DNK,2011-04,94.9,Apr 2011
DNK,2011-05,96,May 2011
DNK,2011-06,95.8,Jun 2011
DNK,2011-07,96.1,Jul 2011
DNK,2011-08,96.6,Aug 2011
DNK,2011-09,96.9,Sep 2011
DNK,2011-10,96.8,Oct 2011
DNK,2011-11,96.3,Nov 2011
DNK,2011-12,96.8,Dec 2011
