iso,date,Storm
CYP,Jan 2004,1
CZE,Jan 2002,1
CZE,Oct 2002,1
CZE,Feb 2005,1
CZE,Jan 2007,1
CZE,Feb 2008,1
CZE,Jul 2009,1
CZE,Aug 2017,1
CZE,Feb 2020,1
CZE,Jun 2021,1
CZE,Oct 2021,1
CZE,Jan 2022,1
CZE,Feb 2022,1
DDR,Jan 1984,1
DDR,Jul 1984,1
DDR,Aug 1985,1
DEU,Jan 1990,1
DEU,Feb 1990,1
DEU,Jan 1991,1
DEU,Jan 1993,1
DEU,Jul 1993,1
DEU,Jan 1994,1
DEU,Jul 1994,1
DEU,Jan 1995,1
DEU,Jul 1995,1
DEU,Oct 1996,1
DEU,Oct 1998,1
DEU,Dec 1999,1
DEU,Jul 2001,1
DEU,Jan 2002,1
DEU,Jul 2002,1
DEU,Oct 2002,1
DEU,Jan 2003,1
DEU,Jun 2003,1
DEU,Jan 2004,1
DEU,Jan 2005,1
DEU,Mar 2006,1
DEU,Jun 2006,1
DEU,Jul 2006,1
DEU,Jan 2007,1
DEU,Feb 2008,1
DEU,May 2008,1
DEU,Jul 2009,1
DEU,Feb 2010,1
DEU,Dec 2010,1
DEU,Jul 2013,1
DEU,Oct 2013,1
DEU,Dec 2013,1
DEU,Jun 2014,1
DEU,Jul 2014,1
DEU,Jun 2017,1
DEU,Aug 2017,1
DEU,Jan 2018,1
DEU,Jan 2019,1
DEU,Feb 2020,1
DEU,Jun 2021,1
DEU,Oct 2021,1
DEU,Jan 2022,1
DEU,Feb 2022,1
DEU,Jul 2023,1
DFR,Jul 1929,1
DFR,Jul 1953,1
DFR,Feb 1962,1
DFR,Jul 1968,1
DFR,Nov 1972,1
DFR,Aug 1974,1
DFR,Jan 1976,1
DFR,Jul 1984,1
DFR,Nov 1984,1
DFR,Aug 1985,1
DJI,Jul 1995,1
DJI,May 2018,1
DMA,Sep 1930,1
DMA,Sep 1963,1
DMA,Aug 1970,1
DMA,Aug 1979,1
DMA,Aug 1980,1
DMA,Oct 1984,1
DMA,Sep 1989,1
DMA,Sep 1995,1
DMA,Nov 1999,1
DMA,Aug 2007,1
DMA,Sep 2011,1
DMA,Aug 2015,1
DMA,Sep 2017,1
DNK,Jan 1976,1
DNK,Dec 1980,1
DNK,Nov 1981,1
DNK,Jan 1983,1
DNK,Aug 1985,1
DNK,Jan 1990,1
DNK,Feb 1990,1
DNK,Dec 1999,1
DNK,Oct 2002,1
DNK,Jan 2005,1
DNK,Jan 2007,1
DNK,Dec 2010,1
DNK,Oct 2013,1
DNK,Dec 2013,1
DNK,Jan 2022,1
DOM,Sep 1930,1
DOM,Oct 1963,1
DOM,Aug 1964,1
DOM,Sep 1966,1
DOM,Aug 1979,1
DOM,Aug 1980,1
DOM,Jun 1986,1
DOM,Sep 1987,1
DOM,Sep 1989,1
DOM,Aug 1995,1
DOM,Oct 1995,1
DOM,Sep 1996,1
DOM,Sep 1998,1
DOM,Oct 2001,1
DOM,Dec 2003,1
DOM,Sep 2004,1
DOM,Oct 2005,1
DOM,Aug 2007,1
DOM,Oct 2007,1
DOM,Dec 2007,1
DOM,Aug 2008,1
DOM,Sep 2008,1
DOM,Oct 2010,1
DOM,Aug 2011,1
DOM,Aug 2012,1
DOM,Oct 2012,1
DOM,Aug 2015,1
DOM,Oct 2016,1
DOM,Apr 2017,1
DOM,Sep 2017,1
DOM,Jul 2018,1
DOM,Jul 2020,1
DOM,Aug 2020,1
DOM,Jul 2021,1
DOM,Aug 2021,1
DOM,Sep 2022,1
DOM,Aug 2023,1
DZA,Sep 1988,1
DZA,Dec 2000,1
DZA,Jan 2003,1
DZA,Feb 2005,1
EGY,May 1979,1
EGY,Oct 1987,1
EGY,May 1997,1
EGY,Jan 2004,1
EGY,Dec 2010,1
EGY,Oct 2015,1
EGY,Nov 2015,1
EGY,Oct 2016,1
ERI,Apr 1993,1
ESP,Feb 1941,1
ESP,Aug 1971,1
ESP,Jan 1973,1
ESP,Sep 1984,1
ESP,Oct 1984,1
ESP,Aug 1987,1
ESP,Feb 1989,1
ESP,Sep 1989,1
ESP,Feb 1990,1
ESP,Dec 1990,1
ESP,Apr 1994,1
ESP,Oct 1997,1
ESP,Jan 1998,1
ESP,Dec 1999,1
ESP,Dec 2000,1
ESP,Nov 2001,1
ESP,Jan 2007,1
ESP,Jan 2009,1
ESP,Feb 2010,1
ESP,Dec 2013,1
ESP,Jan 2014,1
ESP,Jan 2018,1
ESP,Apr 2019,1
ESP,Oct 2019,1
ESP,Dec 2019,1
ESP,Jan 2020,1
ESP,Jan 2021,1
EST,Jan 2005,1
FIN,Jan 1990,1
FIN,Feb 1990,1
FJI,Feb 1931,1
FJI,Feb 1941,1
FJI,Jan 1952,1
FJI,Jan 1958,1
FJI,Feb 1965,1
FJI,Oct 1972,1
FJI,Apr 1973,1
FJI,Dec 1973,1
FJI,Jan 1975,1
FJI,Feb 1978,1
FJI,Mar 1979,1
FJI,Mar 1980,1
FJI,Jan 1981,1
FJI,Mar 1983,1
FJI,Jan 1985,1
FJI,Mar 1985,1
FJI,Dec 1986,1
FJI,Jan 1987,1
FJI,Nov 1990,1
FJI,Dec 1992,1
FJI,Jan 1993,1
FJI,Mar 1997,1
FJI,Jan 1999,1
FJI,Mar 2001,1
FJI,Jan 2003,1
FJI,Apr 2004,1
FJI,Jan 2006,1
