location,time,ppi_tot_manufact_food,date
FIN,2019-09,102.1,Sep 2019
FIN,2019-10,101.8,Oct 2019
FIN,2019-11,101.7,Nov 2019
FIN,2019-12,101.6,Dec 2019
FIN,2020-01,102.2,Jan 2020
FIN,2020-02,102.3,Feb 2020
FIN,2020-03,102.4,Mar 2020
FIN,2020-04,102.2,Apr 2020
FIN,2020-05,103.2,May 2020
FIN,2020-06,103.5,Jun 2020
FIN,2020-07,103.5,Jul 2020
FIN,2020-08,103.4,Aug 2020
FIN,2020-09,102.7,Sep 2020
FIN,2020-10,102.8,Oct 2020
FIN,2020-11,103.1,Nov 2020
FIN,2020-12,102.9,Dec 2020
FIN,2021-01,102.8,Jan 2021
FIN,2021-02,103,Feb 2021
FIN,2021-03,103.2,Mar 2021
FIN,2021-04,103.2,Apr 2021
FIN,2021-05,103.6,May 2021
FIN,2021-06,104.1,Jun 2021
FIN,2021-07,104.6,Jul 2021
FIN,2021-08,105.1,Aug 2021
FIN,2021-09,105.6,Sep 2021
FIN,2021-10,105.7,Oct 2021
FIN,2021-11,106,Nov 2021
FIN,2021-12,107,Dec 2021
FIN,2022-01,109.4,Jan 2022
FIN,2022-02,110.8,Feb 2022
FIN,2022-03,112.4,Mar 2022
FIN,2022-04,114.4,Apr 2022
FIN,2022-05,117.6,May 2022
FIN,2022-06,120.2,Jun 2022
FIN,2022-07,122.9,Jul 2022
FIN,2022-08,124.7,Aug 2022
FIN,2022-09,126.3,Sep 2022
FIN,2022-10,127.5,Oct 2022
FIN,2022-11,129.1,Nov 2022
FIN,2022-12,128.8,Dec 2022
FRA,1995-01,79.7,Jan 1995
FRA,1995-02,79.7,Feb 1995
FRA,1995-03,79.7,Mar 1995
FRA,1995-04,79.4,Apr 1995
FRA,1995-05,79.4,May 1995
FRA,1995-06,79.4,Jun 1995
FRA,1995-07,79.5,Jul 1995
FRA,1995-08,79.5,Aug 1995
FRA,1995-09,79.5,Sep 1995
FRA,1995-10,79.8,Oct 1995
FRA,1995-11,79.8,Nov 1995
FRA,1995-12,79.8,Dec 1995
FRA,1996-01,79.5,Jan 1996
FRA,1996-02,79.5,Feb 1996
FRA,1996-03,79.5,Mar 1996
FRA,1996-04,79.4,Apr 1996
FRA,1996-05,79.4,May 1996
FRA,1996-06,79.4,Jun 1996
FRA,1996-07,79.7,Jul 1996
FRA,1996-08,79.7,Aug 1996
FRA,1996-09,79.7,Sep 1996
FRA,1996-10,79.6,Oct 1996
FRA,1996-11,79.6,Nov 1996
FRA,1996-12,79.6,Dec 1996
FRA,1997-01,79.3,Jan 1997
FRA,1997-02,79.3,Feb 1997
FRA,1997-03,79.3,Mar 1997
FRA,1997-04,79.7,Apr 1997
FRA,1997-05,79.7,May 1997
FRA,1997-06,79.7,Jun 1997
FRA,1997-07,80.1,Jul 1997
FRA,1997-08,80.1,Aug 1997
FRA,1997-09,80.1,Sep 1997
FRA,1997-10,80.2,Oct 1997
FRA,1997-11,80.3,Nov 1997
FRA,1997-12,80.3,Dec 1997
FRA,1998-01,80.3,Jan 1998
FRA,1998-02,80.3,Feb 1998
FRA,1998-03,80.3,Mar 1998
FRA,1998-04,80.4,Apr 1998
FRA,1998-05,80.5,May 1998
FRA,1998-06,80.5,Jun 1998
FRA,1998-07,80.4,Jul 1998
FRA,1998-08,80.3,Aug 1998
FRA,1998-09,80.4,Sep 1998
FRA,1998-10,80,Oct 1998
FRA,1998-11,80.1,Nov 1998
FRA,1998-12,80.1,Dec 1998
FRA,1999-01,80,Jan 1999
FRA,1999-02,80,Feb 1999
FRA,1999-03,79.9,Mar 1999
FRA,1999-04,79.7,Apr 1999
FRA,1999-05,79.8,May 1999
FRA,1999-06,80,Jun 1999
FRA,1999-07,80.6,Jul 1999
FRA,1999-08,80.5,Aug 1999
FRA,1999-09,80.5,Sep 1999
FRA,1999-10,80.3,Oct 1999
FRA,1999-11,80.5,Nov 1999
FRA,1999-12,80.7,Dec 1999
FRA,2000-01,80.9,Jan 2000
FRA,2000-02,81,Feb 2000
FRA,2000-03,81.4,Mar 2000
FRA,2000-04,82,Apr 2000
FRA,2000-05,82.5,May 2000
FRA,2000-06,82.9,Jun 2000
FRA,2000-07,83.4,Jul 2000
FRA,2000-08,83.5,Aug 2000
FRA,2000-09,83.7,Sep 2000
FRA,2000-10,84.2,Oct 2000
FRA,2000-11,84.9,Nov 2000
FRA,2000-12,85.1,Dec 2000
FRA,2001-01,85.5,Jan 2001
