location,time,ppi_tot_con,date
HUN,2007-07,85.10303,Jul 2007
HUN,2007-08,86.1294,Aug 2007
HUN,2007-09,86.38599,Sep 2007
HUN,2007-10,87.07024,Oct 2007
HUN,2007-11,87.75448,Nov 2007
HUN,2007-12,88.0966,Dec 2007
HUN,2008-01,88.52426,Jan 2008
HUN,2008-02,88.86638,Feb 2008
HUN,2008-03,88.78085,Mar 2008
HUN,2008-04,88.43873,Apr 2008
HUN,2008-05,88.01107,May 2008
HUN,2008-06,87.75448,Jun 2008
HUN,2008-07,86.72811,Jul 2008
HUN,2008-08,87.15577,Aug 2008
HUN,2008-09,88.26767,Sep 2008
HUN,2008-10,90.83359,Oct 2008
HUN,2008-11,91.51783,Nov 2008
HUN,2008-12,92.11655,Dec 2008
HUN,2009-01,94.16928,Jan 2009
HUN,2009-02,96.47861,Feb 2009
HUN,2009-03,96.90627,Mar 2009
HUN,2009-04,95.53777,Apr 2009
HUN,2009-05,94.08376,May 2009
HUN,2009-06,93.91269,Jun 2009
HUN,2009-07,92.11655,Jul 2009
HUN,2009-08,91.00465,Aug 2009
HUN,2009-09,90.40593,Sep 2009
HUN,2009-10,89.72169,Oct 2009
HUN,2009-11,89.97828,Nov 2009
HUN,2009-12,89.89275,Dec 2009
HUN,2010-01,90.06381,Jan 2010
HUN,2010-02,90.15497,Feb 2010
HUN,2010-03,89.4257,Mar 2010
HUN,2010-04,88.96992,Apr 2010
HUN,2010-05,90.97539,May 2010
HUN,2010-06,91.70465,Jun 2010
HUN,2010-07,92.25159,Jul 2010
HUN,2010-08,91.97812,Aug 2010
HUN,2010-09,92.25159,Sep 2010
HUN,2010-10,91.52233,Oct 2010
HUN,2010-11,92.16044,Nov 2010
HUN,2010-12,92.70738,Dec 2010
HUN,2011-01,92.16044,Jan 2011
HUN,2011-02,91.70465,Feb 2011
HUN,2011-03,92.70738,Mar 2011
HUN,2011-04,92.25159,Apr 2011
HUN,2011-05,90.97539,May 2011
HUN,2011-06,90.79308,Jun 2011
HUN,2011-07,89.4257,Jul 2011
HUN,2011-08,89.97266,Aug 2011
HUN,2011-09,92.70738,Sep 2011
HUN,2011-10,93.61896,Oct 2011
HUN,2011-11,95.62443,Nov 2011
HUN,2011-12,94.98633,Dec 2011
HUN,2012-01,97.72105,Jan 2012
HUN,2012-02,96.26254,Feb 2012
HUN,2012-03,95.71559,Mar 2012
HUN,2012-04,96.80948,Apr 2012
HUN,2012-05,96.17138,May 2012
HUN,2012-06,94.98633,Jun 2012
HUN,2012-07,95.98906,Jul 2012
HUN,2012-08,94.98633,Aug 2012
HUN,2012-09,95.8979,Sep 2012
HUN,2012-10,95.80675,Oct 2012
HUN,2012-11,95.71559,Nov 2012
HUN,2012-12,95.2598,Dec 2012
HUN,2013-01,98.99727,Jan 2013
HUN,2013-02,98.81495,Feb 2013
HUN,2013-03,100.4558,Mar 2013
HUN,2013-04,100.1823,Apr 2013
HUN,2013-05,99.36189,May 2013
HUN,2013-06,100.5469,Jun 2013
HUN,2013-07,100.2735,Jul 2013
HUN,2013-08,100.3646,Aug 2013
HUN,2013-09,100.2735,Sep 2013
HUN,2013-10,98.35916,Oct 2013
